"Geographic code","Geographic name, english","Geographic name, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"59012","Fleetwood--Port Kells","Fleetwood--Port Kells","British Columbia","Colombie-Britannique",59,116958,F,109742,F,6.6,37630,34634,T,8.7,35361,32793,F,7.8,69.60,1680.4,
"59013","Kamloops--Thompson--Cariboo","Kamloops--Thompson--Cariboo","British Columbia","Colombie-Britannique",59,124358,F,118616,T,4.8,60251,56786,T,6.1,52098,49479,T,5.3,37757.55,3.3,
"59014","Kelowna--Lake Country","Kelowna--Lake Country","British Columbia","Colombie-Britannique",59,119388,F,110051,F,8.5,52108,48856,F,6.7,48143,44051,F,9.3,1566.95,76.2,
"59015","Kootenay--Columbia","Kootenay--Columbia","British Columbia","Colombie-Britannique",59,112354,F,107589,F,4.4,61365,58884,F,4.2,49193,46404,F,6.0,63419.81,1.8,
"59016","Langley--Aldergrove","Langley--Aldergrove","British Columbia","Colombie-Britannique",59,117017,F,103084,F,13.5,43484,38780,F,12.1,41670,36740,F,13.4,374.03,312.9,
"59017","Mission--Matsqui--Fraser Canyon","Mission--Matsqui--Fraser Canyon","British Columbia","Colombie-Britannique",59,94825,F,90616,T,4.6,36103,35259,T,2.4,32544,31080,T,4.7,21350.11,4.4,
"59018","Nanaimo--Ladysmith","Nanaimo--Ladysmith","British Columbia","Colombie-Britannique",59,122710,F,114998,F,6.7,56149,53656,F,4.6,52963,49415,F,7.2,1728.28,71.0,
"59019","New Westminster--Burnaby","New Westminster--Burnaby","British Columbia","Colombie-Britannique",59,115340,F,108652,F,6.2,51057,48592,F,5.1,48649,45742,F,6.4,26.30,4386.0,
"59020","North Okanagan--Shuswap","North Okanagan--Shuswap","British Columbia","Colombie-Britannique",59,124605,F,121474,F,2.6,63972,61508,F,4.0,53626,51146,F,4.8,16173.61,7.7,
"59021","North Vancouver","North Vancouver","British Columbia","Colombie-Britannique",59,115344,F,109639,F,5.2,50141,47567,F,5.4,47266,45148,F,4.7,335.16,344.1,
"59022","Pitt Meadows--Maple Ridge","Pitt Meadows--Maple Ridge","British Columbia","Colombie-Britannique",59,101101,F,94111,F,7.4,38963,36362,F,7.2,37528,34861,F,7.7,2045.92,49.4,
"59023","Port Moody--Coquitlam","Port Moody--Coquitlam","British Columbia","Colombie-Britannique",59,110817,F,108362,T,2.3,43784,42157,T,3.9,41653,40151,T,3.7,95.23,1163.7,
